VALUE,COUNT,WEEK_TAG
china,324,from 2022-12-09 to 2022-12-15
south,240,from 2022-12-09 to 2022-12-15
vietnam,103,from 2022-12-09 to 2022-12-15
10,64,from 2022-12-09 to 2022-12-15
carries,59,from 2022-12-09 to 2022-12-15
expansion,59,from 2022-12-09 to 2022-12-15
finds,59,from 2022-12-09 to 2022-12-15
december,56,from 2022-12-09 to 2022-12-15
1941,54,from 2022-12-09 to 2022-12-15
prince,54,from 2022-12-09 to 2022-12-15
wales,54,from 2022-12-09 to 2022-12-15
hms,53,from 2022-12-09 to 2022-12-15
battleship,52,from 2022-12-09 to 2022-12-15
sunk,52,from 2022-12-09 to 2022-12-15
1307,51,from 2022-12-09 to 2022-12-15
797,51,from 2022-12-09 to 2022-12-15
artist's,51,from 2022-12-09 to 2022-12-15
impression,51,from 2022-12-09 to 2022-12-15
lying,51,from 2022-12-09 to 2022-12-15
upside,51,from 2022-12-09 to 2022-12-15
