keywords,pulsarId,week_tag
indonesia,0_87317_16_fcb97b6a4ddd88eeda4ba6ef13af5b84,from 2022-12-08 to 2022-12-14
struggles,0_87317_16_fcb97b6a4ddd88eeda4ba6ef13af5b84,from 2022-12-08 to 2022-12-14
build,0_87317_16_fcb97b6a4ddd88eeda4ba6ef13af5b84,from 2022-12-08 to 2022-12-14
military,0_87317_16_fcb97b6a4ddd88eeda4ba6ef13af5b84,from 2022-12-08 to 2022-12-14
stave,0_87317_16_fcb97b6a4ddd88eeda4ba6ef13af5b84,from 2022-12-08 to 2022-12-14
china,0_87317_16_fcb97b6a4ddd88eeda4ba6ef13af5b84,from 2022-12-08 to 2022-12-14
ktt,0_87317_16_a8c28b83934a30bcaee49d30916b8f4c,from 2022-12-08 to 2022-12-14
uni,0_87317_16_a8c28b83934a30bcaee49d30916b8f4c,from 2022-12-08 to 2022-12-14
eropa,0_87317_16_a8c28b83934a30bcaee49d30916b8f4c,from 2022-12-08 to 2022-12-14
asean,0_87317_16_a8c28b83934a30bcaee49d30916b8f4c,from 2022-12-08 to 2022-12-14
brussels,0_87317_16_a8c28b83934a30bcaee49d30916b8f4c,from 2022-12-08 to 2022-12-14
bahas,0_87317_16_a8c28b83934a30bcaee49d30916b8f4c,from 2022-12-08 to 2022-12-14
kemitraan,0_87317_16_a8c28b83934a30bcaee49d30916b8f4c,from 2022-12-08 to 2022-12-14
strategis,0_87317_16_a8c28b83934a30bcaee49d30916b8f4c,from 2022-12-08 to 2022-12-14
indonesia,0_87317_16_b0211ed092671b613397fabd4d03746f,from 2022-12-08 to 2022-12-14
struggles,0_87317_16_b0211ed092671b613397fabd4d03746f,from 2022-12-08 to 2022-12-14
build,0_87317_16_b0211ed092671b613397fabd4d03746f,from 2022-12-08 to 2022-12-14
military,0_87317_16_b0211ed092671b613397fabd4d03746f,from 2022-12-08 to 2022-12-14
stave,0_87317_16_b0211ed092671b613397fabd4d03746f,from 2022-12-08 to 2022-12-14
china,0_87317_16_b0211ed092671b613397fabd4d03746f,from 2022-12-08 to 2022-12-14
indonesia,0_87317_16_c6738b7b2ad203ab4e39ae41ab8ed8ad,from 2022-12-08 to 2022-12-14
struggles,0_87317_16_c6738b7b2ad203ab4e39ae41ab8ed8ad,from 2022-12-08 to 2022-12-14
build,0_87317_16_c6738b7b2ad203ab4e39ae41ab8ed8ad,from 2022-12-08 to 2022-12-14
military,0_87317_16_c6738b7b2ad203ab4e39ae41ab8ed8ad,from 2022-12-08 to 2022-12-14
stave,0_87317_16_c6738b7b2ad203ab4e39ae41ab8ed8ad,from 2022-12-08 to 2022-12-14
china,0_87317_16_c6738b7b2ad203ab4e39ae41ab8ed8ad,from 2022-12-08 to 2022-12-14
proses,0_87317_16_32823406a6d57520744f9a20a149f904,from 2022-12-08 to 2022-12-14
homologasi,0_87317_16_32823406a6d57520744f9a20a149f904,from 2022-12-08 to 2022-12-14
harusnya,0_87317_16_32823406a6d57520744f9a20a149f904,from 2022-12-08 to 2022-12-14
didahulukan,0_87317_16_32823406a6d57520744f9a20a149f904,from 2022-12-08 to 2022-12-14
daripada,0_87317_16_32823406a6d57520744f9a20a149f904,from 2022-12-08 to 2022-12-14
pidana,0_87317_16_32823406a6d57520744f9a20a149f904,from 2022-12-08 to 2022-12-14
hak,0_87317_16_87e915c029708698444072a37ec1b5ba,from 2022-12-08 to 2022-12-14
asasi,0_87317_16_87e915c029708698444072a37ec1b5ba,from 2022-12-08 to 2022-12-14
kesejahteraan,0_87317_16_87e915c029708698444072a37ec1b5ba,from 2022-12-08 to 2022-12-14
umum,0_87317_16_87e915c029708698444072a37ec1b5ba,from 2022-12-08 to 2022-12-14
demokrasi,0_87317_16_87e915c029708698444072a37ec1b5ba,from 2022-12-08 to 2022-12-14
pov,0_87317_126_t1_j08qkjb,from 2022-12-08 to 2022-12-14
russian,0_87317_126_t1_j08qkjb,from 2022-12-08 to 2022-12-14
tank,0_87317_126_t1_j08qkjb,from 2022-12-08 to 2022-12-14
city,0_87317_126_t1_j08qkjb,from 2022-12-08 to 2022-12-14
fighting,0_87317_126_t1_j08qkjb,from 2022-12-08 to 2022-12-14
🇨🇳,0_87317_126_t1_j08q922,from 2022-12-08 to 2022-12-14
chinese,0_87317_126_t1_j08q922,from 2022-12-08 to 2022-12-14
chengdu,0_87317_126_t1_j08q922,from 2022-12-08 to 2022-12-14
j-20,0_87317_126_t1_j08q922,from 2022-12-08 to 2022-12-14
engine,0_87317_126_t1_j08q922,from 2022-12-08 to 2022-12-14
exhaust,0_87317_126_t1_j08q922,from 2022-12-08 to 2022-12-14
1280x1280,0_87317_126_t1_j08q922,from 2022-12-08 to 2022-12-14
menakar,0_87317_16_8badf8f38f557d71f121cd866f64af6b,from 2022-12-08 to 2022-12-14
fundamental,0_87317_16_8badf8f38f557d71f121cd866f64af6b,from 2022-12-08 to 2022-12-14
menghadapi,0_87317_16_8badf8f38f557d71f121cd866f64af6b,from 2022-12-08 to 2022-12-14
tahun,0_87317_16_8badf8f38f557d71f121cd866f64af6b,from 2022-12-08 to 2022-12-14
resesi,0_87317_16_8badf8f38f557d71f121cd866f64af6b,from 2022-12-08 to 2022-12-14
binkov,0_87317_126_t1_j08ospt,from 2022-12-08 to 2022-12-14
taiwan,0_87317_126_t1_j08ospt,from 2022-12-08 to 2022-12-14
ukraine,0_87317_126_t1_j08ospt,from 2022-12-08 to 2022-12-14
russia,0_87317_126_t1_j08gio2,from 2022-12-08 to 2022-12-14
patriot,0_87317_126_t1_j08gio2,from 2022-12-08 to 2022-12-14
systems,0_87317_126_t1_j08gio2,from 2022-12-08 to 2022-12-14
ukraine,0_87317_126_t1_j08gio2,from 2022-12-08 to 2022-12-14
legitimate,0_87317_126_t1_j08gio2,from 2022-12-08 to 2022-12-14
target,0_87317_126_t1_j08gio2,from 2022-12-08 to 2022-12-14
chinese,0_87317_126_t1_j08ac5k,from 2022-12-08 to 2022-12-14
transgression,0_87317_126_t1_j08ac5k,from 2022-12-08 to 2022-12-14
pushed,0_87317_126_t1_j08ac5k,from 2022-12-08 to 2022-12-14
india,0_87317_126_t1_j08ac5k,from 2022-12-08 to 2022-12-14
book,0_87317_126_t1_j0870nj,from 2022-12-08 to 2022-12-14
populism,0_87317_126_t1_j0870nj,from 2022-12-08 to 2022-12-14
