value,count,week_tag
china,223,from 2022-12-08 to 2022-12-14
south,154,from 2022-12-08 to 2022-12-14
10,64,from 2022-12-08 to 2022-12-14
december,56,from 2022-12-08 to 2022-12-14
1941,54,from 2022-12-08 to 2022-12-14
prince,54,from 2022-12-08 to 2022-12-14
wales,54,from 2022-12-08 to 2022-12-14
hms,53,from 2022-12-08 to 2022-12-14
battleship,52,from 2022-12-08 to 2022-12-14
sunk,52,from 2022-12-08 to 2022-12-14
1307,51,from 2022-12-08 to 2022-12-14
797,51,from 2022-12-08 to 2022-12-14
artist's,51,from 2022-12-08 to 2022-12-14
impression,51,from 2022-12-08 to 2022-12-14
lying,51,from 2022-12-08 to 2022-12-14
upside,51,from 2022-12-08 to 2022-12-14
wreck,51,from 2022-12-08 to 2022-12-14
ini,48,from 2022-12-08 to 2022-12-14
bmkg,39,from 2022-12-08 to 2022-12-14
chinese,31,from 2022-12-08 to 2022-12-14
