topics,pulsarId,week_tag
Quadrilateral Security Dialogue,0_87317_16_fcb97b6a4ddd88eeda4ba6ef13af5b84,from 2022-12-08 to 2022-12-14
China,0_87317_16_fcb97b6a4ddd88eeda4ba6ef13af5b84,from 2022-12-08 to 2022-12-14
Politics,0_87317_16_fcb97b6a4ddd88eeda4ba6ef13af5b84,from 2022-12-08 to 2022-12-14
United States,0_87317_16_fcb97b6a4ddd88eeda4ba6ef13af5b84,from 2022-12-08 to 2022-12-14
Indonesia,0_87317_16_fcb97b6a4ddd88eeda4ba6ef13af5b84,from 2022-12-08 to 2022-12-14
Joko Widodo,0_87317_16_fcb97b6a4ddd88eeda4ba6ef13af5b84,from 2022-12-08 to 2022-12-14
Nirmatrelvir/ritonavir,0_87317_16_fcb97b6a4ddd88eeda4ba6ef13af5b84,from 2022-12-08 to 2022-12-14
Riau Islands,0_87317_16_fcb97b6a4ddd88eeda4ba6ef13af5b84,from 2022-12-08 to 2022-12-14
Territorial disputes in the South China Sea,0_87317_16_fcb97b6a4ddd88eeda4ba6ef13af5b84,from 2022-12-08 to 2022-12-14
Najib Razak,0_87317_16_fcb97b6a4ddd88eeda4ba6ef13af5b84,from 2022-12-08 to 2022-12-14
International relations,0_87317_16_fcb97b6a4ddd88eeda4ba6ef13af5b84,from 2022-12-08 to 2022-12-14
South Korea,0_87317_16_fcb97b6a4ddd88eeda4ba6ef13af5b84,from 2022-12-08 to 2022-12-14
Pfizer,0_87317_16_fcb97b6a4ddd88eeda4ba6ef13af5b84,from 2022-12-08 to 2022-12-14
Xi Jinping,0_87317_16_fcb97b6a4ddd88eeda4ba6ef13af5b84,from 2022-12-08 to 2022-12-14
Natuna Regency,0_87317_16_fcb97b6a4ddd88eeda4ba6ef13af5b84,from 2022-12-08 to 2022-12-14
Politics,0_87317_16_b0211ed092671b613397fabd4d03746f,from 2022-12-08 to 2022-12-14
International relations,0_87317_16_b0211ed092671b613397fabd4d03746f,from 2022-12-08 to 2022-12-14
Indonesia,0_87317_16_b0211ed092671b613397fabd4d03746f,from 2022-12-08 to 2022-12-14
China,0_87317_16_b0211ed092671b613397fabd4d03746f,from 2022-12-08 to 2022-12-14
Territorial disputes in the South China Sea,0_87317_16_b0211ed092671b613397fabd4d03746f,from 2022-12-08 to 2022-12-14
South China Sea,0_87317_16_b0211ed092671b613397fabd4d03746f,from 2022-12-08 to 2022-12-14
Joko Widodo,0_87317_16_b0211ed092671b613397fabd4d03746f,from 2022-12-08 to 2022-12-14
International security,0_87317_16_b0211ed092671b613397fabd4d03746f,from 2022-12-08 to 2022-12-14
Military,0_87317_16_b0211ed092671b613397fabd4d03746f,from 2022-12-08 to 2022-12-14
Quadrilateral Security Dialogue,0_87317_16_b0211ed092671b613397fabd4d03746f,from 2022-12-08 to 2022-12-14
United States,0_87317_16_b0211ed092671b613397fabd4d03746f,from 2022-12-08 to 2022-12-14
Government,0_87317_16_b0211ed092671b613397fabd4d03746f,from 2022-12-08 to 2022-12-14
Global politics,0_87317_16_b0211ed092671b613397fabd4d03746f,from 2022-12-08 to 2022-12-14
Natuna Regency,0_87317_16_b0211ed092671b613397fabd4d03746f,from 2022-12-08 to 2022-12-14
Deterrence theory,0_87317_16_b0211ed092671b613397fabd4d03746f,from 2022-12-08 to 2022-12-14
Warfare,0_87317_16_b0211ed092671b613397fabd4d03746f,from 2022-12-08 to 2022-12-14
Singapore,0_87317_16_b0211ed092671b613397fabd4d03746f,from 2022-12-08 to 2022-12-14
National security,0_87317_16_b0211ed092671b613397fabd4d03746f,from 2022-12-08 to 2022-12-14
Jakarta,0_87317_16_b0211ed092671b613397fabd4d03746f,from 2022-12-08 to 2022-12-14
Dassault Rafale,0_87317_16_b0211ed092671b613397fabd4d03746f,from 2022-12-08 to 2022-12-14
International relations,0_87317_16_c6738b7b2ad203ab4e39ae41ab8ed8ad,from 2022-12-08 to 2022-12-14
Politics,0_87317_16_c6738b7b2ad203ab4e39ae41ab8ed8ad,from 2022-12-08 to 2022-12-14
Indonesia,0_87317_16_c6738b7b2ad203ab4e39ae41ab8ed8ad,from 2022-12-08 to 2022-12-14
China,0_87317_16_c6738b7b2ad203ab4e39ae41ab8ed8ad,from 2022-12-08 to 2022-12-14
Territorial disputes in the South China Sea,0_87317_16_c6738b7b2ad203ab4e39ae41ab8ed8ad,from 2022-12-08 to 2022-12-14
South China Sea,0_87317_16_c6738b7b2ad203ab4e39ae41ab8ed8ad,from 2022-12-08 to 2022-12-14
Joko Widodo,0_87317_16_c6738b7b2ad203ab4e39ae41ab8ed8ad,from 2022-12-08 to 2022-12-14
International security,0_87317_16_c6738b7b2ad203ab4e39ae41ab8ed8ad,from 2022-12-08 to 2022-12-14
Military,0_87317_16_c6738b7b2ad203ab4e39ae41ab8ed8ad,from 2022-12-08 to 2022-12-14
Quadrilateral Security Dialogue,0_87317_16_c6738b7b2ad203ab4e39ae41ab8ed8ad,from 2022-12-08 to 2022-12-14
United States,0_87317_16_c6738b7b2ad203ab4e39ae41ab8ed8ad,from 2022-12-08 to 2022-12-14
Government,0_87317_16_c6738b7b2ad203ab4e39ae41ab8ed8ad,from 2022-12-08 to 2022-12-14
Global politics,0_87317_16_c6738b7b2ad203ab4e39ae41ab8ed8ad,from 2022-12-08 to 2022-12-14
Natuna Regency,0_87317_16_c6738b7b2ad203ab4e39ae41ab8ed8ad,from 2022-12-08 to 2022-12-14
Deterrence theory,0_87317_16_c6738b7b2ad203ab4e39ae41ab8ed8ad,from 2022-12-08 to 2022-12-14
Warfare,0_87317_16_c6738b7b2ad203ab4e39ae41ab8ed8ad,from 2022-12-08 to 2022-12-14
Singapore,0_87317_16_c6738b7b2ad203ab4e39ae41ab8ed8ad,from 2022-12-08 to 2022-12-14
National security,0_87317_16_c6738b7b2ad203ab4e39ae41ab8ed8ad,from 2022-12-08 to 2022-12-14
Jakarta,0_87317_16_c6738b7b2ad203ab4e39ae41ab8ed8ad,from 2022-12-08 to 2022-12-14
Dassault Rafale,0_87317_16_c6738b7b2ad203ab4e39ae41ab8ed8ad,from 2022-12-08 to 2022-12-14
International security,0_87317_126_t1_j08qkjb,from 2022-12-08 to 2022-12-14
International relations,0_87317_126_t1_j08qkjb,from 2022-12-08 to 2022-12-14
Ukraine,0_87317_126_t1_j08qkjb,from 2022-12-08 to 2022-12-14
International relations,0_87317_126_t1_j08q922,from 2022-12-08 to 2022-12-14
Seas,0_87317_126_t1_j08q922,from 2022-12-08 to 2022-12-14
Global politics,0_87317_126_t1_j08q922,from 2022-12-08 to 2022-12-14
Coastal and oceanic landforms,0_87317_126_t1_j08q922,from 2022-12-08 to 2022-12-14
Exclusive economic zones,0_87317_126_t1_j08q922,from 2022-12-08 to 2022-12-14
Physical geography,0_87317_126_t1_j08q922,from 2022-12-08 to 2022-12-14
Hydrography,0_87317_126_t1_j08q922,from 2022-12-08 to 2022-12-14
Natural resources,0_87317_126_t1_j08q922,from 2022-12-08 to 2022-12-14
Law of the sea,0_87317_126_t1_j08q922,from 2022-12-08 to 2022-12-14
